,Strike,GBM Black-Scholes,GBM Monte Carlo,GBM Fourier Inversion,GBM Modified Call,GBM Fast-Fourier Transform,VG Monte Carlo,VG Fourier Inversion,VG Modified Call,VG Fast-Fourier Transform
0,60.2677217,42.75703848,43.39237749,42.75703848,42.75703848,42.75703826,43.92532311,43.41496092,43.41222154,43.41227324
1,60.63865666,42.41068368,44.54831517,42.41068368,42.41068368,42.41068347,42.13885492,43.08736995,43.07848478,43.07853464
2,61.01187464,42.06260021,42.46980897,42.06260021,42.06260021,42.06259999,42.50894404,42.75329733,42.74314568,42.74313021
3,61.38738971,41.71280096,41.61365442,41.71280096,41.71280096,41.71280074,43.0357665,42.39605999,42.4060668,42.40606048
4,61.76521598,41.36130003,41.82559438,41.36130003,41.36130003,41.36129981,42.12146032,42.10178244,42.06726196,42.06732632
5,62.1453677,41.00811274,41.05106556,41.00811274,41.00811274,41.00811252,41.49188839,41.71741572,41.72696269,41.72692892
6,62.52785917,40.65325567,41.6559427,40.65325567,40.65325567,40.65325545,42.24916166,41.39703179,41.3849113,41.38486982
7,62.91270479,40.2967467,40.26188296,40.2967467,40.2967467,40.29674648,40.49656184,41.03886582,41.04118159,41.04115091
8,63.29991906,39.93860506,40.49139327,39.93860506,39.93860506,39.93860484,40.39592024,40.70689823,40.69577459,40.69577447
9,63.68951654,39.57885137,38.58423399,39.57885137,39.57885137,39.57885115,40.59153784,40.33873927,40.34876683,40.34874315
10,64.08151192,39.21750767,38.62977667,39.21750767,39.21750767,39.21750746,39.48113147,39.99662016,40.00024492,40.00006001
11,64.47591994,38.85459747,39.28236185,38.85459747,38.85459747,38.85459726,37.81199825,39.65503578,39.64972181,39.64972853
12,64.87275547,38.49014578,38.16297057,38.49014578,38.49014578,38.49014556,39.32566593,39.2917044,39.29771921,39.29775261
13,65.27203342,38.12417914,37.8511302,38.12417914,38.12417914,38.12417892,38.94747694,38.93876274,38.94412859,38.94413662
14,65.67376885,37.75672569,38.18396005,37.75672569,37.75672569,37.75672547,38.56429287,38.6166234,38.588896,38.58888538
15,66.07797688,37.38781517,36.43400758,37.38781517,37.38781517,37.38781495,37.21483613,38.23788505,38.23200606,38.23200419
16,66.48467272,37.01747897,37.1647798,37.01747897,37.01747897,37.01747875,37.54033495,37.86934552,37.87346152,37.87349886
17,66.89387168,36.64575017,36.55233311,36.64575017,36.64575017,36.64574995,38.05315815,37.52556984,37.51337617,37.51337572
18,67.30558918,36.27266357,36.39043121,36.27266357,36.27266357,36.27266335,38.20151062,37.11820936,37.15165551,37.15164165
19,67.71984071,35.8982557,36.33569686,35.8982557,35.8982557,35.89825549,36.99275769,36.79120923,36.78829456,36.78830406
20,68.13664187,35.5225649,34.03625909,35.5225649,35.5225649,35.52256468,36.57121307,36.42628772,36.42338321,36.42337097
21,68.55600836,35.14563126,33.21529421,35.14563126,35.14563126,35.14563105,35.78240457,36.06504926,36.05686847,36.05685101
22,68.97795595,34.76749676,35.85819416,34.76749676,34.76749676,34.76749655,35.86226631,35.72854404,35.68875692,35.68875341
23,69.40250054,34.3882052,33.61949036,34.3882052,34.3882052,34.38820498,35.23659073,35.33146443,35.31909378,35.31908807
24,69.82965811,34.00780226,33.93554299,34.00780226,34.00780226,34.00780204,35.29760148,34.93564385,34.94786768,34.94786557
25,70.25944475,33.62633551,33.12568355,33.62633551,33.62633551,33.62633529,33.37279444,34.57363106,34.57508108,34.57509717
26,70.69187663,33.24385444,32.64929716,33.24385444,33.24385444,33.24385422,34.60248529,33.36524118,34.20081543,34.20079488
27,71.12697004,32.86041046,33.86321813,32.86041046,32.86041046,32.86041024,33.92320026,33.82384998,33.82496929,33.82497148
28,71.56474135,32.47605691,33.05120857,32.47605691,32.47605691,32.4760567,32.86094449,33.50446886,33.44763208,33.44764049
29,72.00520706,32.09084909,30.84716234,32.09084909,32.09084909,32.09084887,32.5533328,32.84445346,33.06877826,33.0688163
30,72.44838373,31.70484423,31.60252849,31.70484423,31.70484423,31.70484401,32.36533177,32.65492993,32.68848739,32.68851412
31,72.89428807,31.31810151,30.86631016,31.31810151,31.31810151,31.31810129,32.5837327,32.33908215,32.3067403,32.30675005
32,73.34293684,30.93068206,31.77940355,30.93068206,30.93068206,30.93068185,32.52294148,31.93559499,31.92354884,31.92354111
33,73.79434696,30.54264897,30.22059724,30.54264897,30.54264897,30.54264875,30.7034684,31.53501914,31.53889865,31.53890527
34,74.24853541,30.15406724,31.44847601,30.15406724,30.15406724,30.15406702,30.05798987,31.15175632,31.15286964,31.1528615
35,74.70551929,29.7650038,30.17973098,29.7650038,29.7650038,29.76500359,30.36280604,30.88205348,30.76543658,30.7654298
36,75.16531581,29.37552749,29.50342214,29.37552749,29.37552749,29.37552728,31.00141388,30.3850746,30.37664199,30.37663123
37,75.62794228,28.98570903,28.17189879,28.98570903,28.98570903,28.98570882,29.506169,29.98461943,29.98648623,29.98648799
38,76.09341612,28.595621,28.9737159,28.595621,28.595621,28.59562078,30.23040117,29.60647183,29.59503215,29.59502343
39,76.56175485,28.20533781,28.67557136,28.20533781,28.20533781,28.20533759,29.7382826,29.2069387,29.20226137,29.2022621
40,77.03297611,27.81493568,27.7297171,27.81493568,27.81493568,27.81493546,28.33256908,28.81234531,28.80822865,28.80822984
41,77.50709763,27.42449257,26.64475087,27.42449257,27.42449257,27.42449236,28.23167107,28.42663442,28.41282859,28.41295377
42,77.98413726,27.0340882,27.93830984,27.0340882,27.0340882,27.03408798,27.8160764,28.01092956,28.0164678,28.0164624
43,78.46411298,26.64380392,24.91242,26.64380392,26.64380392,26.64380371,28.82263992,27.6849061,27.6187782,27.61878564
44,78.94704284,26.25372275,25.71255094,26.25372275,26.25372275,26.25372254,26.37188537,27.23300439,27.21996061,27.21995492
45,79.43294503,25.86392926,25.38380082,25.86392926,25.86392926,25.86392905,26.69864413,26.8224034,26.82001238,26.82000319
46,79.92183785,25.47450954,26.41542393,25.47450954,25.47450954,25.47450932,27.02664969,26.41968089,26.4189499,26.41896503
47,80.4137397,25.08555113,25.71690034,25.08555113,25.08555113,25.08555091,26.80040136,26.01366811,26.01687663,26.0168767
48,80.9086691,24.69714295,25.96094338,24.69714295,24.69714295,24.69714274,24.8402078,25.65651953,25.61377754,25.61377623
49,81.40664468,24.30937525,24.38248487,24.30937525,24.30937525,24.30937504,24.8371686,25.21431057,25.20969362,25.20970346
50,81.9076852,23.92233951,23.63549059,23.92233951,23.92233951,23.9223393,25.08559014,24.82112886,24.80469272,24.8047002
51,82.41180951,23.53612837,23.95016537,23.53612837,23.53612837,23.53612815,23.52080601,24.39243864,24.39881767,24.39881022
52,82.9190366,23.15083554,24.21165179,23.15083554,23.15083554,23.15083532,23.36241904,24.00315294,23.99208048,23.99207941
53,83.42938557,22.76655572,22.72553429,22.76655572,22.76655572,22.7665555,23.56825792,23.58444826,23.58455287,23.58455587
54,83.94287562,22.38338451,21.84912806,22.38338451,22.38338451,22.3833843,23.03191596,23.17497032,23.17628884,23.17628999
55,84.4595261,22.00141832,21.53201833,22.00141832,22.00141832,22.0014181,22.69143208,22.77633684,22.76733283,22.76733455
56,84.97935645,21.62075423,21.12925979,21.62075423,21.62075423,21.62075401,23.12883254,22.35772815,22.35774485,22.35774489
57,85.50238625,21.24148996,20.47597346,21.24148996,21.24148996,21.24148974,21.46507066,21.94837167,21.94757282,21.94757897
58,86.02863518,20.8637237,20.60579308,20.8637237,20.8637237,20.86372348,22.15784237,21.53572879,21.5369001,21.53689757
59,86.55812306,20.48755403,20.69020102,20.48755403,20.48755403,20.48755381,21.264093,21.13317674,21.12576892,21.12576434
60,87.09086983,20.1130798,19.21466572,20.1130798,20.1130798,20.11307958,20.89071325,20.71299284,20.71424791,20.71424603
61,87.62689553,19.74040004,18.79415354,19.74040004,19.74040004,19.74039982,19.99183064,20.30161474,20.30241352,20.30241262
62,88.16622037,19.36961379,18.91978062,19.36961379,19.36961379,19.36961357,19.13506344,19.88764964,19.89033902,19.89033748
63,88.70886463,19.00082004,19.46539609,19.00082004,19.00082004,19.00081982,19.54437349,19.47999892,19.47809973,19.47809755
