,Strike,GBM Black-Scholes,GBM Monte Carlo,GBM Fourier Inversion,GBM Modified Call,GBM Fast-Fourier Transform,VG Analytic,VG Monte Carlo,VG Fourier Inversion,VG Modified Call,VG Fast-Fourier Transform
140,118.36205763169447,5.438923390158184,5.100027136185169,5.4389233901581875,5.4389233901581875,5.438923173078646,16.21272697653216,3.475455830048916,3.5151177385433954,3.514699423119529,3.5147011084590036
141,119.09055082488719,5.251540713900582,5.652172534725345,5.251540713900582,5.251540713900594,5.251540496821071,16.045839969611315,3.1207564512278103,3.3754514455746296,3.3753280349523025,3.3753295019566814
142,119.8235277381427,5.068624215274291,6.004383591165642,5.068624215274298,5.0686242152743,5.06862399819472,15.880478913324723,2.929922364799834,3.242476376505053,3.2425508365995555,3.242552364083818
143,120.56101596780154,4.890148385433818,4.462449631050126,4.890148385433822,4.890148385433831,4.890148168354267,15.716635249652061,3.2926683270371937,3.1159362968782176,3.1159374201171213,3.1159389723246314
144,121.3030432800525,4.71608473809783,5.361618528897284,4.716084738097834,4.716084738097838,4.716084521018294,15.554300270795832,2.8821848925514058,2.9965970634256607,2.995101934267472,2.9951031865311486
145,122.04963761197985,4.546401886389273,4.383426702157818,4.546401886389273,4.546401886389281,4.546401669309759,15.393465130240063,2.5459576899507477,2.879734663276551,2.8796951991075854,2.8796962181653516
146,122.80082707261454,4.381065624063922,4.622082335020971,4.381065624063922,4.381065624063925,4.381065406984423,15.234120853133321,2.4403654962726673,2.7681081494796302,2.7693998018094446,2.7694010256967965
147,123.55663994399224,4.220039010874693,4.3080435029626125,4.220039010874693,4.220039010874707,4.220038793795151,15.076258346070931,3.2422569382419746,2.6640410279549798,2.6639276297105092,2.6639278798397767
148,124.31710468221979,4.063282461810218,4.3628456301665945,4.063282461810228,4.063282461810231,4.063282244730694,14.91986840633754,2.4952073198386784,2.563930015441116,2.563010179131556,2.5630107922945244
149,125.082249918544,3.910753839939158,4.092408461866818,3.9107538399391615,3.9107538399391637,3.910753622859646,14.764941730680919,2.497608418668093,2.4636294512515633,2.466403272297021,2.466404596050798
150,125.85210446043132,3.7624085525817286,4.294878885440456,3.762408552581732,3.762408552581729,3.7624083355022266,14.611468923210333,2.7599576699794692,2.356794704145381,2.3738822072349617,2.3738825267792403
151,126.62669729265201,3.6181996505267264,2.9842220164676196,3.6181996505267335,3.618199650526733,3.618199433447249,14.459440503894417,2.2600693682537827,2.287116979728932,2.285234175091647,2.2852341960533398
152,127.40605757837139,3.478077930005437,3.4632662083388905,3.4780779300054405,3.4780779300054414,3.478077712925974,14.308846915232365,1.6696379648529998,2.200110517272254,2.200263241971722,2.200263875496213
153,128.1902146602474,3.3419920371304883,3.171497878688503,3.3419920371304954,3.341992037130503,3.3419918200509926,14.159678529613634,2.3022290738753797,1.9864060474341603,2.1187875868055106,2.1187890308906865
154,128.97919806153712,3.209888574504614,3.075338551063044,3.2098885745046104,3.209888574504625,3.2098883574251307,14.011925655870009,2.213620288496856,2.0397062379416884,2.0406387159845987,2.0406390596018924
155,129.77303748720558,3.081712209703678,2.622142817917771,3.0817122097036744,3.0817122097036855,3.0817119926242094,13.8655785455701,1.2657789451597148,1.96739573427217,1.965654169159464,1.9656541951140947
156,130.5717628250461,2.9574057853355527,3.0234361091480695,2.957405785335556,2.957405785335563,2.957405568256101,13.720627398991951,1.5160689201901119,1.8941274712681686,1.8936848614536965,1.8936845502394526
157,131.37540414680484,2.836910430379234,3.057201813458588,2.836910430379234,2.836910430379248,2.8369102132998023,13.57706237079661,1.922282710109156,1.8238502360338202,1.8245879797886342,1.8245892763961058
158,132.18399170931275,2.7201656725087204,2.8885931298629473,2.720165672508724,2.7201656725087213,2.7201654554292394,13.434873575316786,2.1880038333694984,1.7538468643409075,1.7582357932111903,1.7582358208062174
159,132.99755595562652,2.6071095511087528,2.6814881594595885,2.6071095511087563,2.6071095511087568,2.6071093340292895,13.294051092200833,1.5567249547857958,1.6948321495063219,1.6944986335785897,1.6944992669021905
160,133.81612751617192,2.4976787306946875,2.7293795473442763,2.4976787306946946,2.497678730694695,2.4976785136152437,13.154584970240961,1.6842480221893346,1.6325924896816932,1.6332605958221265,1.6332617459116203
161,134.63973720989895,2.3918086144505004,2.5088865711786092,2.391808614450497,2.391808614450509,2.3918083973710735,13.016465233068622,1.615635734228707,1.5738140243051202,1.5744124322249362,1.5744119097053082
162,135.46841604544161,2.2894334576072133,2.042998980441451,2.2894334576072097,2.2894334576072146,2.2894332405277917,12.879681883036675,1.2817893254775419,1.5173871603321327,1.517844855817477,1.517844456674695
163,136.3021952222855,2.190486480388751,2.601373326548053,2.1904864803887474,2.1904864803923356,2.1904862633093467,12.744224905528776,1.0582552923433002,1.4645475684077347,1.4634581819953476,1.4634597037540855
164,137.14110613194185,2.0948999802601893,2.261247217323709,2.094899980260182,2.0948999802601946,2.0948997631807544,12.610084272961997,1.1400173087233745,1.4099484505149444,1.411163495882724,1.411163198794421
165,137.98518035913142,2.0026054432206237,1.9674647864543937,2.0026054432206024,2.002605443220613,2.0026052261411884,12.477249948598917,1.210605829955614,1.354206184839315,1.3608635378132459,1.360865368384269
166,138.8344496829707,1.9135336538930972,1.568182182006692,1.9135336538930776,1.9135336538930936,1.9135334368136834,12.345711890180059,1.5003567112550993,1.3125514283866027,1.31248061560986,1.3124811969433245
167,139.6889460781704,1.8276148041716436,1.8334269737369018,1.8276148041716453,1.8276148041716558,1.8276145870922602,12.215460053384334,1.4117074712316469,1.2657700895377992,1.2659324848196931,1.2659299335157201
168,140.54870171623867,1.7447786001970744,1.4413559006588474,1.744778600197085,1.7447786001970869,1.744778383117703,12.08648439512697,1.3077794349673904,1.2179284267472177,1.2211340780257356,1.221134823190995
169,141.41374896669197,1.6649543674431655,1.913419612841665,1.6649543674431673,1.6649543674431737,1.6649541503637677,11.958774876702629,1.457549582320258,1.1791700856418048,1.1780168193058012,1.1780228604986052
170,142.28412039827575,1.5880711537061085,1.3505903947333633,1.5880711537061032,1.5880711537061176,1.5880709366267247,11.832321466770237,0.8826154939879675,1.1330691777334048,1.1365284243907037,1.1365245624728795
171,143.15984878018756,1.514057829802498,1.4936298478473082,1.5140578298024874,1.5140578298024994,1.5140576127231191,11.707114144428237,0.8444802189702452,1.0952040023797425,1.0965725180569652,1.0965737593820473
